id,firstname,lastname,city,country
668,Hildegaard,Ball,Cork (city),Germany
669,Lisette,Billye,Santa Cruz de la Sierra,Cambodia
670,Inga,Gaspard,Bamako,Madagascar
671,Devina,Ricki,Ushuaia,Lesotho
672,Asia,Prouty,Tbilisi,Cocos (Keeling) Islands
673,Corly,Wenda,Fairbanks,Martinique
674,Goldie,Gahl,Leeds,Poland
675,Ellette,Zuzana,Bogor,Armenia
676,Luci,Kellby,Honiara,Monaco
677,Stephanie,Decato,Dublin,Honduras
678,Leeanne,Vale,Reykjavík,Poland
679,Marylou,Hepsibah,Yamoussoukro,Australia
680,Tiffie,Septima,Yangon,Northern Mariana Islands
681,Courtnay,Tufts,New Orleans,Saudi Arabia
682,Catrina,Leffen,Guadalajara,Niue
683,Edyth,Weitman,Rio Branco,Marshall Islands
684,Lila,Thema,Yerevan,Saint Helena
685,Betta,Karylin,Bergen,Hong Kong
686,Annabela,Seligman,Shijiazhuang,Serbia and Montenegro
687,Joleen,Francene,Hat Yai,Cape Verde
688,Mathilda,Israeli,Cayenne,RWANDA
689,Allis,Boehike,Magadan,Albania
690,Mignon,Norvol,New Delhi,"Virgin Islands, British"
691,Lynde,Fennessy,Tijuana,Saint Vincent and the Grenadines
692,Rosanne,Lubin,Mwanza,Slovakia
693,Randa,Modie,Dhaka,"Tanzania, United Republic of"
694,Demetris,Maxi,Aarhus,Morocco
695,Jennica,Ferrell,Saipan,Isle of Man
696,Doro,Mitzi,Puebla,Solomon Islands
697,Diena,Nerita,Surabaya,Cambodia
698,Hyacinthe,Jaylene,Detroit,Latvia
699,Carmencita,Harriman,Nukuʻalofa,Tuvalu
700,Yetty,Durware,Zhengzhou,Argentina
701,Lesly,Norvol,Valdivia,Finland
702,Binny,Wandie,Baghdad,French Southern Territories
703,Sheelagh,Carvey,Bogor,Austria
704,Janey,Birdella,Denver,South Africa
705,Cherrita,Yusuk,Pyongyang,"Taiwan, Province of China"
706,Augustine,Dorothy,Honiara,"Korea, Democratic People""S Republic of"
707,Kelly,Cloris,Edinburgh,Guatemala
708,Krystle,Mata,Vienna,Kazakhstan
709,Gwyneth,Phyllis,Cebu City,Gabon
710,Kalina,Tannie,Bogor,Sweden
711,Priscilla,Stephie,Shigatse,"Palestinian Territory, Occupied"
712,Leia,Yerkovich,Stuttgart,Jersey
713,Raina,Sekofski,Invercargill,Mozambique
714,Chloris,Koehler,The Valley,Jordan
715,Ileana,Brenn,Providence,Kyrgyzstan
716,Sibella,Martguerita,Bergen,Senegal
717,Brandise,Ciapas,Bergen,Estonia
718,Coral,Sherfield,Avarua,Mayotte
719,Roseline,Parette,Jeddah,Saint Vincent and the Grenadines
720,Hope,Goode,Managua,Pitcairn
721,Hannis,Poll,Quetzaltenango,Faroe Islands
722,Marcy,Lorain,Nice,Reunion
723,Lyssa,Hessler,Srinagar,Niue
724,Raina,Clywd,Dresden,Sao Tome and Principe
725,Thalia,Gert,Geelong,Hong Kong
726,Doro,Granoff,Toulouse,Israel
727,Ottilie,Gilbertson,Valletta,Western Sahara
728,Mariele,Moseley,Zanzibar City,Kenya
729,Cyndie,Flita,Papeete,Kyrgyzstan
730,Farrah,Llovera,Mashhad,Montserrat
731,Sindee,Emmaline,Bangalore,United Kingdom
732,Jany,Septima,Louisville,Somalia
733,Diena,Mathilde,Hargeisa,Lithuania
734,Cyndie,Fry,Philadelphia,Tajikistan
735,Robinia,Suanne,Tallinn,Greece
736,Celisse,Brenn,Concepción,Morocco
737,Shirlee,Modie,Mbabane,Dominican Republic
738,Emylee,Chaing,Lubumbashi,Mayotte
739,Genovera,Gert,Berlin,Singapore
740,Dagmar,Seligman,Wuhan,Malta
741,Fawne,Nance,Accra,Cameroon
742,Sonni,Nikaniki,Papeete,Bermuda
743,Florencia,Sawtelle,Warsaw,Tajikistan
744,Kristan,An,Niamey,Namibia
745,Hallie,Halsey,Tartu,Suriname
746,Bernardine,Ahab,La Paz,Russian Federation
747,Konstance,Sancho,Tehran,Niger
748,Leontine,Hebner,Timbuktu,Qatar
749,Claudina,Tufts,Lilongwe,Svalbard and Jan Mayen
750,Janis,Seessel,Arbil,Mexico
751,Melanie,Hortensia,Baltimore,Israel
752,Fanchon,Solitta,Dhaka,Guatemala
753,Cristabel,Wildermuth,Alor Star,Nauru
754,Chandra,Harday,Paris,Comoros
755,Ariela,Colbert,Nagoya,Namibia
756,Vita,Zrike,Mérida,Vanuatu
757,Rayna,Joeann,Kunming,Uzbekistan
758,Beth,Guildroy,Maseru,Viet Nam
759,Concettina,Pulsifer,Pekanbaru,"Korea, Republic of"
760,Ofilia,Suzetta,Muscat,Belize
761,Devina,Barney,Auckland,Afghanistan
762,Willetta,Carlson,Hai Phong,Trinidad and Tobago
763,Tybie,Stover,Dunedin,United States Minor Outlying Islands
764,Meriel,Robertson,Wuhan,Martinique
765,Danika,Bord,Cayenne,Jamaica
766,Shel,Mathilde,Batticaloa,Peru
767,Kathi,Holtz,Lisbon,American Samoa
768,Katharina,Kronfeld,Norilsk,Tunisia
769,Winny,Thilda,Oranjestad,Mauritius
770,Sissy,Tremayne,Adana,Niger
771,Aeriela,Tatianas,Zürich,Japan
772,Tiffie,Vins,Hanga Roa,Russian Federation
773,Kara-Lynn,Sikorski,Manzini,Hungary
774,Ottilie,Ophelia,Majuro,French Polynesia
775,Andeee,Berl,Perm,"Lao People""S Democratic Republic"
776,Rhea,Cadmar,Minsk,"Korea, Republic of"
777,Bernie,Gaulin,Huế,Morocco
778,Bobbi,Caitlin,Budapest,Norfolk Island
779,Amara,Tyson,Port Vila,Grenada
780,Kaja,Caitlin,Freetown,Lithuania
781,Tera,Lauraine,Edinburgh,Italy
782,Kial,Blisse,Papeete,"Virgin Islands, British"
783,Hope,Fiester,Washington,Guinea-Bissau
784,Gilda,Ricki,Nakhon Ratchasima,Jersey
785,Ricky,Serilda,Maceió,United Arab Emirates
786,Chloris,Martsen,Dededo,Georgia
787,Elena,Odell,Sapporo,Mauritius
788,Bill,Sothena,Iqaluit,Singapore
789,Paule,Tippets,Johor Bahru,Kenya
790,Kate,Fontana,Agartala,Latvia
791,Elbertina,Hutchison,Tijuana,Malta
792,Cassandra,Minetta,Alor Star,Indonesia
793,Asia,Cynar,Santiago de Cuba,Dominican Republic
794,Calla,Stav,Malacca Town,Papua New Guinea
795,Jordan,Orlene,Hamburg,Singapore
796,Caritta,Malvino,Santiago,Italy
797,Bee,Thar,Makati City,Hong Kong
798,Anthia,Rosemary,Tripoli,China
799,Melodie,Wu,Kingstown,Maldives
800,Alex,Sandye,Baltimore,Swaziland
801,Sam,Wooster,Santo Domingo,Senegal
802,Fanny,Nicoline,Alofi,Chad
803,Melanie,Rugen,The Hague,Slovakia
804,Suzette,Eliathas,Lahore,Bahrain
805,Daryl,Karna,Simferopol,Gabon
806,Gabriellia,Rebecka,Charlottetown,Ghana
807,Diena,Alabaster,Athens,"Virgin Islands, British"
808,Felice,Elisha,Mexico City,AndorrA
809,Sadie,Juan,Belfast,Lebanon
810,Olwen,Amand,Istanbul,Guyana
811,Vevay,Israeli,Kinshasa,Bahrain
812,Susan,Cadmar,St. Louis,"Virgin Islands, British"
813,Carilyn,Kosey,Mexicali,Sweden
814,Raina,Nisbet,Anadyr (town),Marshall Islands
815,Aurelie,Uund,Djibouti (city),"Micronesia, Federated States of"
816,Hettie,Forrer,Bloemfontein,Saint Pierre and Miquelon
817,Nollie,Quent,Manila,Jamaica
818,Shirlee,Raama,Vilnius,Malaysia
819,Hallie,Wesle,Mersin,Suriname
820,Tilly,Mata,Semarang,Jordan
821,Minne,Narton,Banda Aceh,Egypt
822,Tamqrah,Salchunas,Santa Cruz de Tenerife,New Zealand
823,Ardenia,Anyah,Christchurch,Saudi Arabia
824,Leona,Hermes,Guatemala City,Falkland Islands (Malvinas)
825,Mureil,Blake,Antofagasta,Mauritius
826,Cassondra,Hailee,Oranjestad,"Tanzania, United Republic of"
827,Cherilyn,Meter,Graz,Congo
828,Magdalena,Junie,Birmingham,Cape Verde
829,Almeta,Elephus,Guwahati,Sudan
830,Corry,Shaddock,Quebec City,Saudi Arabia
831,Jasmina,Miru,Puebla,Cambodia
832,Bernie,Silvan,Mérida,Egypt
833,Luci,Miru,Columbus,Kiribati
834,Vinita,Bettine,Nassau,Maldives
835,Lindie,Maxi,Barranquilla,Latvia
836,Ruthe,Klotz,Tabriz,Myanmar
837,Adele,Garrison,Amman,Poland
838,Keelia,Means,Port-au-Prince,Wallis and Futuna
839,Susette,Bivins,Osaka,Sao Tome and Principe
840,Marinna,Seessel,Nicosia,Guinea-Bissau
841,Pamella,Kristi,Fukuoka,French Polynesia
842,Lenna,Ietta,Aberdeen,Libyan Arab Jamahiriya
843,Elsie,Wattenberg,Wollongong,South Georgia and the South Sandwich Islands
844,Kelly,Gherardo,Hobart,Argentina
845,Miquela,Cressida,Greenwich,Honduras
846,Caryl,Madaih,Espoo,Panama
847,Rhea,Jacinda,Hyderabad,Comoros
848,Etta,Jenness,Apia,Sweden
849,Theodora,Imelida,Qingdao,Cook Islands
850,Grier,Lutero,Belmopan,"Moldova, Republic of"
851,Penelopa,Slifka,Bridgetown,Jamaica
852,Teddie,Bergman,Assis,French Guiana
853,Candy,Paton,Chennai,Turks and Caicos Islands
854,Concettina,Percy,Saint John,Kiribati
855,Alyssa,Crudden,Macapá,Sierra Leone
856,Gabi,Maisey,Geelong,Poland
857,Annecorinne,Silvan,Thimphu,Barbados
858,Rori,Abbot,South Tarawa,Jersey
859,Kara-Lynn,Kress,Mogadishu,Burundi
860,Melodie,Corabella,Hobart,Macao
861,Yolane,Rozanna,Havana,Switzerland
862,Mahalia,Rossner,Chişinău,Bahrain
863,Valli,Braun,Jeddah,Trinidad and Tobago
864,Hollie,Alarise,Cusco,Mozambique
865,Merry,Palocz,Prague,Bolivia
866,Sidoney,Hertzfeld,Murmansk,Norway
867,Florie,Oster,Nukulaelae,Vanuatu
868,Yetty,Stacy,Malabo,Lithuania
869,Ezmeralda,Alabaster,Washington,New Zealand
870,Josephine,Huggins,N'Djamena,Lithuania
871,Renae,Munn,Las Vegas,Mexico
872,Evaleen,Adlare,San Francisco,Paraguay
873,Netty,Georgy,Jayapura,Jamaica
874,Tamqrah,Douglass,Jaipur,Iceland
875,Selia,Marlie,Port of Spain,American Samoa
876,Belva,Francene,Taichung,Togo
877,Hallie,Dermott,Colombo,Guinea-Bissau
878,Micheline,Manolo,Hamilton,Honduras
879,Jaclyn,Hanleigh,Yaoundé,Guadeloupe
880,Laurene,Dimitris,Birkirkara,Eritrea
881,Sophia,Hanleigh,Düsseldorf,Mayotte
882,Lauryn,Iphlgenia,Tampere,New Zealand
883,Elka,Warthman,Jakarta,Nepal
884,Georgina,Eno,Livingstone,Paraguay
885,Jorry,Aldric,Sucre,Guam
886,Elmira,Cosenza,Toulouse,Libyan Arab Jamahiriya
887,Frieda,Telfer,Rosario,Thailand
888,Donetta,Hollingsworth,Frankfurt,Australia
889,Dotty,Dom,Papeete,Barbados
890,Belinda,Demitria,Cape Town,AndorrA
891,Monika,Gordon,Port Louis,Chile
892,Sherrie,Desai,Panama City,Bosnia and Herzegovina
893,Valli,Clara,Maseru,Trinidad and Tobago
894,Vonny,Suzetta,Cleveland,"Virgin Islands, U.S."
895,Modestia,Honoria,Chihuahua,Serbia and Montenegro
896,Letizia,Burnside,Skopje,French Southern Territories
897,Odessa,Winnick,Quetzaltenango,Switzerland
898,Kristan,Modie,Surat,Heard Island and Mcdonald Islands
899,Marleah,Casimir,Antofagasta,South Georgia and the South Sandwich Islands
900,Lorne,Kendrick,Hargeisa,El Salvador
901,Elyssa,Olin,Rockhampton,Belize
902,Emmey,Cressida,Antofagasta,"Micronesia, Federated States of"
903,Shaine,Katrine,Willemstad,Bermuda
904,Roberta,Elsinore,Wuhan,Slovenia
905,Stevana,Bigner,Yellowknife,Singapore
906,Meriel,Seligman,Adamstown,Ecuador
907,Chandra,Orpah,Almaty,Brazil
908,Marinna,Jerold,Tirana,Haiti
909,Stephanie,Kosey,Makati City,Sri Lanka
910,Elena,Truc,Kigali,Norfolk Island
911,Suzette,Emerson,Cardiff,Barbados
912,Eolanda,Presber,Graz,France
913,Dulcinea,Killigrew,Porto Alegre,Latvia
914,Emmey,Giule,Athens,Anguilla
915,Janis,Gordon,Ljubljana,Serbia and Montenegro
916,Marline,Chobot,Nairobi,Belize
917,Gaylene,Keelia,Cincinnati,Antarctica
918,Justinn,Hortensia,Kuching,Cape Verde
919,Kirstin,Denis,Bogor,New Caledonia
920,Nataline,Gert,Vienna,San Marino
921,Joelly,Tufts,Vladivostok,Romania
922,Fayre,Ludewig,Ashgabat,Antarctica
923,Marjie,Greenwald,Bursa,Azerbaijan
924,Sandie,Kress,Saint-Pierre,Romania
925,Ardenia,Fennessy,Nairobi,Niue
926,Vonny,Goldina,Taichung,Serbia and Montenegro
927,Madeleine,Jaylene,Karachi,Antarctica
928,Gui,Rheingold,Tbilisi,Greece
929,Ardenia,Allina,Bandung,Finland
930,Frances,Ummersen,El Aaiún,South Africa
931,Ottilie,Vins,Recife,Sudan
932,Frank,Shields,Ibiza,British Indian Ocean Territory
933,Keelia,Narton,Shenzhen,Cameroon
934,Cordi,Capello,Düsseldorf,Pakistan
935,Shaylyn,Thilda,Damascus,Ghana
936,Teriann,Daegal,Salzburg,Ecuador
937,Madalyn,Boehike,Bissau,French Southern Territories
938,Luci,Amethist,Hai Phong,Czech Republic
939,Roseline,Goode,Hyderabad,"Lao People""S Democratic Republic"
940,Anthia,Callista,Dili,Palau
941,Vonny,Sheedy,Guangzhou,Serbia and Montenegro
942,Blake,Peonir,Ottawa,Kenya
943,Aubrie,Kannry,Shijiazhuang,Latvia
944,Lindie,Penelopa,Shanghai,Bulgaria
945,Ardeen,Gladstone,Oklahoma City,Fiji
946,Dawn,Middleton,Birkirkara,Greece
947,Sharai,Isacco,Kiev,Tokelau
948,Jinny,Diogenes,Yellowknife,Niue
949,Anestassia,Judye,Zhengzhou,Falkland Islands (Malvinas)
950,Catharine,Darian,Surabaya,Jamaica
951,Taffy,Lubin,Batticaloa,"Micronesia, Federated States of"
952,Joelly,Ricarda,Wuhan,Grenada
953,Harrietta,Dearborn,São Tomé,French Southern Territories
954,Linet,Ovid,San Carlos de Bariloche,Gabon
955,Constance,Klemperer,Yakutsk,Gabon
956,Kore,Allare,Hat Yai,Portugal
957,Steffane,Barney,Freetown,Madagascar
958,Nanete,Jena,Saint-Pierre,Eritrea
959,Genovera,Kamaria,South Tarawa,Haiti
960,Romona,Dex,Stanley,"Moldova, Republic of"
961,Caressa,Lemuela,Tbilisi,Austria
962,Bettine,Buckler,Kathmandu,Guernsey
963,Kelly,Nance,Banda Aceh,Ecuador
964,Fernande,Dulciana,San Juan,Solomon Islands
965,Wanda,Nedrud,Moroni,Canada
966,Harmonia,Georas,The Valley,Tokelau
967,Feliza,Longfellow,Kandahar,Zimbabwe
968,Meriel,Westphal,Hanoi,South Georgia and the South Sandwich Islands
969,Bibby,Masao,Toronto,Isle of Man
970,Laure,Niccolo,Tucson,Saint Pierre and Miquelon
971,Melisent,Taima,Montreal,Tuvalu
972,Jacenta,Whittaker,Dublin,Eritrea
973,Therine,Carri,Bujumbura,"Tanzania, United Republic of"
974,Larine,Carri,Munich,Sudan
975,Belinda,Vernier,Tehran,Antigua and Barbuda
976,Margarette,Marisa,Ahmedabad,Serbia and Montenegro
977,Rani,Shaver,Chongjin,Liechtenstein
978,Bee,Ilka,Invercargill,Maldives
979,Chrystel,Kannry,Washington,Nicaragua
980,Penelopa,Infield,Edmonton,Colombia
981,Margette,Taima,Kanpur,Sao Tome and Principe
982,Orsola,Niccolo,Lanzhou,Romania
983,Edyth,Lalitta,Stepanakert,Nigeria
984,Mignon,Tippets,Portland,Qatar
985,June,Tillford,Qingdao,Luxembourg
986,Jenda,Niles,San Juan,Comoros
987,Hope,Chauncey,Phnom Penh,"Moldova, Republic of"
988,Louella,Anyah,Sacramento,India
989,Binny,Birdella,Honolulu,Western Sahara
990,Tera,Glovsky,Moscow,Palau
991,Bertine,Aurelio,Castries,Jersey
992,Tori,Weinreb,Buenos Aires,Viet Nam
993,Zsa Zsa,Andrel,Santo Domingo,Fiji
994,Melanie,Ries,Tbilisi,Solomon Islands
995,Lanna,Reidar,Damascus,San Marino
996,Beatriz,Briney,Kota Bharu,San Marino
997,Jan,Infield,Bissau,Zimbabwe
998,Alexine,Kat,Fortaleza,Azerbaijan
999,Joleen,Ellord,Adamstown,Tuvalu
1000,Mahalia,Kauppi,Padang,Northern Mariana Islands
1001,Teddie,Quent,Road Town,Algeria
1002,Fanchon,Chaing,Bissau,Estonia
1003,Suzette,Gaspard,Khartoum,"Korea, Democratic People""S Republic of"
1004,Annaliese,Loring,Kanpur,Germany
1005,Violet,Edee,Yerevan,Bangladesh
1006,Sidoney,Darrell,Astana,Aruba
1007,Mary,Giule,Puerto Williams,Zimbabwe
1008,Elbertina,Wilona,Ponta Delgada,Martinique
1009,Katleen,Paton,Moscow,Netherlands Antilles
1010,Jackie,Schalles,Las Vegas,Serbia and Montenegro
1011,Consuela,Rooney,Dubai,Australia
1012,Rosabelle,Gerge,Guayaquil,Suriname
1013,Sharlene,Rad,Charlotte,Madagascar
1014,Lucy,Gibbeon,Livingstone,Mexico
1015,Sherrie,Raychel,Edinburgh,Belize
1016,Max,Richers,Luanda,Trinidad and Tobago
1017,Elfreda,Pond,Oranjestad,"Palestinian Territory, Occupied"
1018,Angela,McAdams,İzmir,"Iran, Islamic Republic Of"
1019,Raquela,Luhe,Chicago,Costa Rica
1020,Minda,Marlie,Medellín,Samoa
1021,Alejandra,Llovera,Pontianak,New Zealand
1022,June,Campball,Avarua,Zambia
1023,Bobinette,Desai,Minsk,Belgium
1024,Cam,Aprile,Dar es Salaam,Aruba
1025,Vanessa,Ogren,Brussels,Cayman Islands
1026,Debee,Garbe,Jersey City,Haiti
1027,Aili,Elbertina,La Serena,Mauritius
1028,Elsie,Knowling,Port Said,"Macedonia, The Former Yugoslav Republic of"
1029,Kary,Kannry,Xi'an,Saint Helena
1030,Maisey,Kesley,Punta Arenas,Marshall Islands
1031,Dawn,Firmin,Ushuaia,Liechtenstein
1032,Regina,Tjon,Pontianak,Spain
1033,Rhoda,Dunkin,Mérida,Wallis and Futuna
1034,Sheelagh,Emmaline,Angra do Heroísmo,Guernsey
1035,Aubrie,Hedve,Phnom Penh,Oman
1036,Alisha,Pettiford,Juneau,San Marino
1037,Ada,Swigart,Moroni,Norway
1038,Minda,Gino,Washington,Comoros
1039,Courtnay,Hutchison,Nashville,Peru
1040,Renie,Bonilla,Gold Coast,Puerto Rico
1041,Allis,Viddah,Boa Vista,"Iran, Islamic Republic Of"
1042,Genovera,Brackely,Ludhiana,Greece
1043,Roxane,Markman,Aberdeen,"Palestinian Territory, Occupied"
1044,Minda,Old,Barcelona,Nepal
1045,Kara-Lynn,Earlie,Longyearbyen,Costa Rica
1046,Adelle,Japeth,Ashgabat,Saudi Arabia
1047,Paola,Soneson,Cusco,Japan
1048,Valli,Xerxes,Horta (Azores),Libyan Arab Jamahiriya
1049,Annecorinne,Tound,Málaga,Cayman Islands
1050,Wanda,Haerr,Freetown,Indonesia
1051,Penelopa,Juliet,Montevideo,Seychelles
1052,Maridel,Behre,Yamoussoukro,Burkina Faso
1053,Laurene,Nester,Valencia,Bahrain
1054,Ginnie,Lumbard,Ulan Bator,Guinea
1055,Lulita,Hilbert,Huế,AndorrA
1056,Karena,Wiener,Kaesong,Bermuda
1057,Lizzie,Lewes,Gaborone,Bermuda
1058,Rosaline,Erminia,Shanghai,Gabon
1059,Angela,Saree,Port Blair,AndorrA
1060,Ana,Bonilla,Jerusalem,Spain
1061,Trudie,Tremayne,Papeete,Anguilla
1062,Rosanne,Solitta,Nassau,Martinique
1063,Tabbatha,Oscar,Karachi,Iceland
1064,Mahalia,Colyer,Saint-Pierre,Italy
1065,Antonietta,Pauly,Reykjavík,Sudan
1066,Elora,Pond,Minsk,Seychelles
1067,Loree,Deny,Graz,Martinique
1068,Maye,Burnside,El Paso,Bulgaria
1069,Lilith,Carbo,Kuwait City,Macao
1070,Carolina,Couture,Cardiff,Senegal
1071,Charmaine,Land,Stanley,Brunei Darussalam
1072,Harmonia,Harned,Saipan,Uzbekistan
1073,Alleen,Sholley,Tirana,Netherlands Antilles
1074,Sharai,Mozelle,Bloemfontein,Burkina Faso
1075,Averyl,Alabaster,Kathmandu,Hong Kong
1076,Louella,Milson,Jeddah,Holy See (Vatican City State)
1077,Kirstin,Mata,Linz,Ethiopia
1078,Aryn,Stanwood,Kansas City,Maldives
1079,Starla,Narton,Basse-Terre,Gabon
1080,Imojean,Gibbeon,Assis,Peru
1081,Lulita,Garbe,Cuiabá,Mauritania
1082,Theodora,Tice,Blantyre,Comoros
1083,Elyssa,Mitzi,Winnipeg,French Southern Territories
1084,Ezmeralda,Baudin,Bursa,RWANDA
1085,Sissy,My,Port Louis,Germany
1086,Hermione,Stanwood,Nouakchott,Liechtenstein
1087,Constance,Imelida,Iloilo City,Brunei Darussalam
1088,Candy,Jacobah,Bangui,Christmas Island
1089,Monika,Rossner,Porto Alegre,Vanuatu
1090,Kimmy,Helfand,Charlotte,New Caledonia
1091,Bobbi,Blake,Bogor,Anguilla
1092,Minda,Sothena,São Tomé,Guinea-Bissau
1093,Lita,Karna,Petropavlovsk-Kamchatsky,Vanuatu
1094,Millie,Terrence,Dunedin,Iraq
1095,Mallory,Dowski,Yogyakarta (city),Peru
1096,Layla,Sibyls,Oranjestad,AndorrA
1097,Wendi,Lunsford,Ciudad del Este,Germany
1098,Cyndie,Shaddock,Nairobi,Nauru
1099,Malina,Ralfston,Minneapolis,Wallis and Futuna
